student_name,gender,region,register_no,birth_date,age,teacher_id,student_code,3,2,3.1,1,2.1,1.1,1.2,2.2,3.2,2.3,total_courses,total_credits
Төгөлдөр,Эм,Увс,НМ27741180,1991-01-15,34,8,M211480053,0,1,0,1,0,0,0,0,1,0,3,6
Отгон,Эр,Сүхбаатар,ВЙ09555253,1991-07-26,34,8,M238890033,1,1,1,1,0,1,0,0,1,0,6,13
Дэлгэр,Эр,Өмнөговь,НЛ33389700,1992-06-19,33,6,B236370082,0,1,0,1,1,0,0,0,1,0,4,8
Ариунаа,Эр,Сэлэнгэ,ГП85452995,1993-11-24,31,7,B171860022,1,1,0,1,1,0,1,1,1,0,7,14
Цэцэг,Эм,Говь-Алтай,ХС31242495,1995-05-03,30,4,M133060036,1,0,1,1,1,0,0,0,1,1,6,14
Батцэнгэл,Эм,Говьсүмбэр,ХБ24183383,1999-09-14,26,3,M104960093,0,1,1,1,1,1,1,0,0,0,6,10
Намуун,Эр,Өвөрхангай,ШЧ57299046,2006-10-08,18,7,M161190049,1,0,0,1,0,0,0,1,1,0,4,9
Амаржаргал,Эр,Ховд,ХГ04150558,2000-09-25,25,5,B211050075,0,1,1,0,0,0,1,0,0,1,4,8
Наран,Эр,Баян-Өлгий,РТ93218879,2006-01-16,19,2,M206910063,0,0,0,0,1,0,1,0,0,1,3,5
Мөнхжаргал,Эр,Архангай,ЕШ92417230,1995-12-03,29,4,B245520012,1,0,0,1,0,0,0,0,1,1,4,9
Эрдэнэ,Эм,Увс,ХХ15835632,1998-06-18,27,8,M236930005,0,0,1,1,0,0,0,1,1,0,4,9
Оюун,Эм,Булган,ДК48944296,1992-11-08,32,4,M175960098,0,1,1,1,1,0,1,1,1,0,7,14
Энхзаяа,Эр,Улаанбаатар - Сонгинохайрхан,ЮЦ87161181,2000-04-05,25,8,M111980065,1,1,0,1,0,0,1,0,1,1,6,12
Ганзориг,Эм,Өмнөговь,ТШ63331242,2000-01-22,25,7,B138420023,0,0,1,1,0,0,0,0,0,1,3,6
Содгэрэл,Эр,Сэлэнгэ,СН10250667,1990-10-02,34,4,M249090062,0,0,0,0,1,1,0,0,0,1,3,5
Бямбаа,Эм,Хөвсгөл,ВБ42934205,2004-01-10,21,3,B128850017,1,1,0,1,1,0,0,1,0,1,6,12
Хатанбаатар,Эр,Архангай,СУ30293933,2001-07-18,24,4,M192810055,0,0,1,1,1,1,0,1,1,1,7,14
Даваа,Эр,Улаанбаатар - Сүхбаатар,ФБ30900601,2001-07-27,24,8,M167060026,1,0,0,0,1,0,0,1,0,1,4,9
Болормаа,Эр,Булган,ЧЙ45426336,1993-10-22,31,4,B116040059,0,0,1,0,1,0,0,1,1,1,5,12
Цолмон,Эм,Архангай,МР43258783,1996-08-26,29,2,B114450056,1,0,0,1,0,0,0,0,0,1,3,6
Энхбаяр,Эм,Улаанбаатар - Сонгинохайрхан,БО97790958,1997-12-16,27,5,B185040030,1,0,1,1,1,0,1,0,0,0,5,10
Мөнхзул,Эр,Дорноговь,ОП06289507,1990-12-03,34,6,M166530015,0,1,1,0,1,0,1,1,1,1,7,15
Хосбаяр,Эм,Булган,ПН92094658,1998-12-01,26,4,B104590011,0,0,1,0,1,0,0,0,1,1,4,10
Одонгэрэл,Эр,Орхон,ПЯ81548278,1994-12-04,30,3,B142170001,0,0,1,0,0,1,1,0,0,0,3,5
Туул,Эр,Говьсүмбэр,ШБ61692800,2003-09-27,22,6,B174850037,1,0,0,0,0,1,1,1,0,1,5,9
Ганбаатар,Эр,Хэнтий,ОА44028553,1991-07-09,34,3,M123860075,1,0,0,1,0,1,0,0,0,0,3,5
Сувд,Эр,Сэлэнгэ,ЮТ55541687,1995-11-25,29,7,B118960063,1,0,1,1,0,0,1,1,0,0,5,10
Баярсайхан,Эм,Улаанбаатар - Сүхбаатар,ЮВ37633937,1994-11-24,30,6,B187740010,1,1,0,1,1,0,1,1,1,0,7,14
Уянга,Эр,Увс,ДВ83474507,2003-02-16,22,1,B123010020,0,1,1,1,1,0,1,0,1,1,7,14
Энхжин,Эр,Өмнөговь,МШ48067493,1999-10-12,25,2,M194310059,1,1,0,0,1,1,0,0,1,0,5,11
Нямгэрэл,Эм,Дундговь,ИЕ85928842,1990-03-06,35,8,B156530053,0,0,0,0,0,1,1,0,0,1,3,4
Бат-Эрдэнэ,Эр,Орхон,ББ10091880,2006-08-15,19,5,M205340039,0,0,1,1,1,1,1,0,0,1,6,10
Амар,Эр,Дорнод,ТШ20684456,1992-04-17,33,3,M187680029,1,0,1,1,1,1,0,1,0,0,6,12
Нандин,Эр,Төв,ОИ21029458,1990-12-01,34,5,M101990074,1,1,0,1,0,0,0,0,1,1,5,11
Сарнай,Эм,Говь-Алтай,ТТ71698868,1992-06-30,33,7,B102440020,1,1,0,1,1,1,0,1,0,0,6,11
Бямбасүрэн,Эр,Говь-Алтай,ЗФ42075348,1991-12-27,33,2,B238820012,0,1,0,1,1,1,0,1,0,1,6,10
Төгс,Эр,Дорнод,АД32378882,2003-10-31,21,2,M206110084,1,1,1,1,1,0,0,1,1,0,7,16
Ганхуяг,Эр,Улаанбаатар - Сонгинохайрхан,МЮ22357376,1990-02-24,35,8,M202140040,1,1,0,1,1,1,1,0,1,1,8,15
Хулантуяа,Эм,Хэнтий,УХ04130503,1996-04-12,29,3,B147810006,0,1,1,1,1,0,0,1,0,0,5,10
Энхжаргал,Эр,Сэлэнгэ,ЯХ22940438,1997-01-12,28,7,M191530051,1,1,1,0,1,1,0,1,0,0,6,13
Мөнхсайхан,Эр,Улаанбаатар - Сүхбаатар,ЕЗ28014664,2005-06-07,20,5,M138920069,0,0,0,1,0,1,0,0,1,1,4,7
Баярчимэг,Эр,Говь-Алтай,ФЯ51492855,2004-11-22,20,7,M158280031,1,1,1,0,1,0,0,1,1,0,6,15
Отгонбаатар,Эр,Увс,МЕ40364808,2003-10-09,21,2,B167120009,1,1,0,0,1,1,0,0,1,1,6,13
Цэцэн,Эм,Говь-Алтай,РЭ88471483,2003-05-05,22,6,B185120069,1,0,0,1,0,0,1,1,1,0,5,10
Дэлгэрцэцэг,Эр,Завхан,ПР24422188,1995-03-06,30,6,M133190015,1,1,1,1,1,0,1,1,0,0,7,14
Ариунаа,Эр,Дархан-Уул,ЧЦ64020971,1995-05-20,30,5,M203340066,1,1,0,0,0,1,1,1,1,0,6,12
Нямсүрэн,Эм,Сүхбаатар,СС83754899,2005-09-02,20,8,M228340036,0,0,1,1,1,1,1,0,0,1,6,10
Содгэрэл,Эм,Дархан-Уул,ЭЛ95108872,1990-05-16,35,8,B162650037,1,1,0,1,0,1,0,0,0,1,5,9
Ганхуяг,Эм,Төв,РФ49609573,1990-09-28,35,8,M143250010,1,1,0,1,0,1,0,1,0,0,5,9
Энхтуяа,Эм,Төв,ЛК29648322,2004-08-24,21,2,M227540064,0,0,0,1,0,0,0,0,1,1,3,6
Мөнгөнтуяа,Эм,Дундговь,ЦС47304328,1993-11-06,31,2,M214870008,0,1,1,1,0,1,0,0,0,1,5,9
Бямбасайхан,Эм,Төв,УЖ78595018,2001-06-20,24,8,M191060070,0,0,0,0,0,0,1,0,1,1,3,6
Хүслэн,Эр,Өвөрхангай,ЛШ47670327,1996-01-10,29,3,B228260033,1,0,1,1,0,0,0,1,0,1,5,11
Оюунгэрэл,Эр,Сэлэнгэ,ФН89878549,2003-06-09,22,8,M111120063,1,0,1,0,1,0,1,1,0,1,6,13
Тэмүүлэн,Эм,Дорнод,ИН17150950,2006-02-22,19,5,M146880046,1,1,0,1,1,1,1,0,1,0,7,13
Сувдан,Эм,Хөвсгөл,АЖ85270225,1997-04-07,28,4,M113270098,1,0,0,1,1,0,0,0,1,1,5,11
Батсайхан,Эр,Сэлэнгэ,ЧН60784909,2004-07-27,21,4,M229010046,1,0,0,0,1,1,0,1,1,0,5,11
Намсрай,Эм,Өмнөговь,ВБ14588196,2003-07-27,22,6,M225170088,0,0,0,0,0,0,1,1,1,0,3,6
Энхзул,Эм,Баянхонгор,МЮ92498125,1993-04-20,32,7,M124350072,1,0,1,1,0,0,1,1,0,1,6,12
Ганзориг,Эм,Архангай,ВГ60078511,2003-02-08,22,7,B241320035,1,0,0,1,1,1,0,0,0,0,4,7
Цэнд-Аюуш,Эр,Увс,ЧБ67323029,1991-01-08,34,5,M213780085,1,1,1,0,0,0,1,1,0,0,5,11
Мөнхтуяа,Эр,Хэнтий,КЛ34224856,1991-04-10,34,3,B228830051,1,0,0,1,1,0,1,0,0,1,5,9
Баярсайхан,Эр,Хөвсгөл,АЕ68334497,2006-12-07,18,3,B137970005,0,1,0,0,1,1,1,0,1,0,5,9
Дөлгөөн,Эр,Төв,ГВ76437162,1999-02-27,26,8,M228470039,0,0,0,0,1,0,1,1,0,1,4,7
Ариунаа,Эм,Говь-Алтай,ЮУ29104647,1990-09-13,35,6,B162640097,1,0,1,0,1,1,1,1,1,0,7,15
Саруул,Эм,Дархан-Уул,ЮШ37849683,2005-09-06,20,5,M118460082,1,0,0,0,0,1,0,1,1,0,4,9
Энхбат,Эм,Орхон,ЙЛ10459923,2001-07-28,24,2,B243720002,1,1,0,0,1,0,0,0,0,1,4,9
Ганболд,Эр,Улаанбаатар - Сүхбаатар,ДЯ48379426,1998-08-28,27,6,B225030094,0,1,0,1,0,1,1,1,0,1,6,9
Бадам,Эм,Хөвсгөл,ЛЯ03185622,2005-01-10,20,8,B216570051,1,1,1,0,1,1,0,0,1,0,6,14
Тэмүүжин,Эр,Говьсүмбэр,ЗК11683889,1994-09-02,31,3,M116110044,0,0,1,1,1,1,0,1,1,0,6,12
Бат,Эр,Булган,ГП03377563,1996-04-12,29,4,M156020088,1,0,1,0,0,0,0,0,0,0,2,6
Болд,Эм,Говьсүмбэр,ПТ41818135,1998-10-10,26,1,M117970050,0,0,1,0,1,0,1,0,1,0,4,9
Саруул,Эм,Дорноговь,НЖ60872023,2006-03-03,19,2,M111960041,1,0,1,0,0,0,1,0,0,1,4,9
Энхбат,Эр,Дорноговь,ГЧ97379742,2002-04-24,23,6,M158510068,0,1,1,1,0,0,1,1,0,1,6,11
Ганболд,Эр,Улаанбаатар - Сонгинохайрхан,ХШ43175492,1993-09-19,32,5,M219020014,1,1,0,0,0,1,1,1,0,0,5,9
Баяр,Эм,Увс,ЗШ38209817,1991-02-02,34,6,M144910014,0,1,0,1,1,0,0,1,0,0,4,7
Мөнх,Эм,Завхан,ЖЛ81463375,2003-02-12,22,6,B181630053,1,0,1,1,1,1,1,0,0,1,7,13
Од,Эм,Өмнөговь,ЯВ65616583,2006-12-27,18,6,M235970043,1,0,1,0,0,1,0,0,1,1,5,12
Амгалан,Эм,Улаанбаатар - Сонгинохайрхан,РЧ27306929,2004-05-13,21,8,M127620025,0,1,1,1,1,0,1,0,1,1,7,14
Номин,Эр,Булган,СР85731501,1990-08-13,35,4,B175840041,1,0,0,1,0,1,0,0,0,1,4,7
Цэнгэл,Эм,Булган,ХЭ33592316,2000-02-12,25,1,B149060033,1,1,0,0,0,1,1,0,1,1,6,12
Хулан,Эр,Төв,ДД71499004,1998-04-06,27,1,M173130039,1,1,0,0,1,1,0,0,1,0,5,11
Энхтуяа,Эм,Говь-Алтай,МЖ17015421,1996-12-16,28,8,M236440017,0,0,1,0,0,0,1,0,1,1,4,9
Сүхбат,Эм,Баян-Өлгий,ВЙ67374795,1995-10-28,29,2,B186740045,0,0,0,0,0,0,0,1,0,1,2,4
Ариун,Эр,Увс,ВФ69113157,1994-07-17,31,1,B214980031,0,1,0,0,1,1,0,1,0,0,4,7
Цэрэн,Эр,Өмнөговь,ХН01920278,1993-06-01,32,4,M232470053,0,1,0,0,0,0,0,0,1,1,3,7
Бадам,Эр,Ховд,РА50882450,1990-04-13,35,4,M148050091,0,1,0,1,0,1,1,0,0,1,5,7
Тэмүүжин,Эр,Хөвсгөл,ВЮ59213039,1999-12-17,25,1,M217650050,0,1,1,1,1,1,1,1,1,1,9,17
Дөлгөөн,Эр,Ховд,ЮН68987362,1996-11-13,28,3,B173260024,1,0,0,0,0,0,1,0,1,1,4,9
Урангоо,Эр,Дорнод,ЮТ94349711,1997-10-03,27,2,B122190047,0,1,0,0,0,0,0,0,0,1,2,4
Гэрэл,Эм,Говь-Алтай,ББ40016011,2005-11-06,19,2,B183490073,0,1,0,0,1,1,0,0,0,0,3,5
Хулан,Эр,Хэнтий,ФР63884168,2004-12-18,20,4,B152090098,0,0,1,0,1,1,0,0,0,0,3,6
Мөнхтөр,Эм,Увс,ДГ04890903,1994-01-20,31,5,B102060089,0,0,1,1,0,1,0,0,1,0,4,8
Баярмаа,Эр,Завхан,РВ16211514,1993-04-05,32,1,B118670096,0,1,0,1,0,0,1,0,0,1,4,6
Энхцэцэг,Эм,Хөвсгөл,ГЧ97693843,1990-11-12,34,1,M168140094,1,1,0,1,1,1,0,1,0,1,7,13
Содном,Эр,Сэлэнгэ,УГ49772459,1990-12-31,34,7,B177520020,1,1,1,1,0,1,1,0,1,0,7,14
Төгөлдөр,Эр,Өвөрхангай,ПЯ75365755,1999-08-13,26,8,M164770088,1,1,1,0,0,0,0,0,1,1,5,13
Отгон,Эм,Өмнөговь,БВ40489077,1991-07-26,34,1,M105830079,1,0,1,0,1,1,0,1,1,0,6,14
Дэлгэр,Эр,Дундговь,АК35898588,2002-03-14,23,5,B235260027,1,0,0,1,1,0,1,0,1,0,5,10
Ариунаа,Эр,Улаанбаатар - Сүхбаатар,ОФ97204369,2001-01-21,24,7,M146830013,1,1,1,1,0,0,1,0,0,0,5,10
Цэцэг,Эм,Дархан-Уул,АБ50596968,2002-03-11,23,5,B238920038,0,1,0,0,0,0,0,0,1,0,2,5
Батцэнгэл,Эм,Улаанбаатар - Сонгинохайрхан,ХЙ42765536,2000-07-10,25,7,B163660097,1,1,1,1,0,0,1,0,1,1,7,15
Намуун,Эр,Баянхонгор,ЦН46948615,2002-08-21,23,8,M127020090,0,1,1,0,0,1,1,0,1,0,5,10
Амаржаргал,Эм,Улаанбаатар - Сонгинохайрхан,ЭХ11101083,2002-09-13,23,2,M228590048,0,1,1,0,0,1,1,1,0,1,6,11
Наран,Эм,Архангай,ЧЕ42220593,2006-09-28,19,2,M211320094,1,0,0,1,1,1,1,0,0,1,6,10
Мөнхжаргал,Эр,Орхон,БЦ48403689,1998-09-21,27,2,M117510027,1,0,0,0,1,0,1,1,1,0,5,11
Эрдэнэ,Эм,Говь-Алтай,ШК75635309,1993-03-25,32,1,M142210025,0,1,1,1,0,0,1,0,0,1,5,9
Оюун,Эм,Дархан-Уул,ЗГ46544197,2001-08-26,24,6,M105710084,1,1,0,1,0,1,1,1,1,0,7,13
Энхзаяа,Эр,Дархан-Уул,ЛЙ51266884,1994-04-22,31,5,M158350072,1,1,1,0,1,0,0,1,1,0,6,15
Ганзориг,Эр,Хөвсгөл,ЕЮ96359756,2003-03-02,22,7,B235450096,1,0,0,1,0,0,1,0,0,1,4,7
Содгэрэл,Эр,Төв,РБ65146263,1994-08-03,31,3,M121050041,1,0,1,0,1,1,0,0,0,1,5,11
Бямбаа,Эм,Дорнод,АТ27504169,1991-02-03,34,3,M162960033,0,1,0,0,0,0,1,0,0,1,3,5
Хатанбаатар,Эм,Увс,ЛН97841828,2006-01-23,19,2,B218920086,0,0,0,0,0,1,0,1,0,1,3,5
Даваа,Эм,Сэлэнгэ,ВШ39773920,1993-09-13,32,2,B216610024,1,0,1,0,1,1,1,0,1,0,6,13
Болормаа,Эм,Завхан,ДЖ07896339,1999-12-29,25,3,M236910083,0,0,1,1,1,1,0,0,1,0,5,10
Цолмон,Эм,Дундговь,ЛВ58466782,1993-06-19,32,2,B108610040,0,0,0,0,0,1,1,1,1,1,5,9
Энхбаяр,Эр,Булган,ЖШ66670484,1999-05-18,26,1,B184940058,0,1,1,1,0,1,1,0,0,1,6,10
Мөнхзул,Эр,Орхон,ЙМ22807959,2003-04-07,22,6,M232940035,0,0,1,1,0,0,0,0,0,1,3,6
Хосбаяр,Эр,Орхон,ЙЛ75447668,1994-06-07,31,2,M231930087,1,0,0,1,1,1,1,0,1,1,7,13
Одонгэрэл,Эм,Булган,МР51741417,1999-04-21,26,7,M231420063,0,1,0,0,0,0,0,0,0,1,2,4
Туул,Эр,Баян-Өлгий,РБ79857797,2003-03-14,22,3,B196050034,0,0,0,1,0,1,0,0,1,1,4,7
Ганбаатар,Эм,Архангай,ЕЖ73538439,2005-04-24,20,8,B124350001,1,0,0,0,1,1,1,1,0,0,5,9
Сувд,Эм,Говьсүмбэр,ЗЧ80625129,2001-07-20,24,2,M212080060,0,1,1,0,1,0,1,1,0,0,5,10
Баярсайхан,Эр,Завхан,НГ08530096,2003-09-14,22,6,B185770053,1,0,1,1,0,1,1,1,1,1,8,16
Уянга,Эр,Дорноговь,БЛ55111298,1993-05-15,32,3,M248970042,0,0,0,0,1,1,0,1,0,0,3,5
Энхжин,Эм,Улаанбаатар - Сонгинохайрхан,УС80373026,2004-07-05,21,4,B235160025,1,0,1,1,0,1,0,1,1,0,6,13
Нямгэрэл,Эм,Баянхонгор,ВС16739171,1995-03-20,30,8,B202960043,0,1,1,1,0,0,0,0,0,0,3,6
Бат-Эрдэнэ,Эм,Булган,УЯ86166904,2000-12-30,24,3,B107220062,1,1,1,1,1,0,1,1,0,1,8,16
Амар,Эр,Ховд,ЙС92811117,2001-08-21,24,3,M196080064,1,1,0,1,1,0,0,1,1,0,6,13
Нандин,Эр,Ховд,КЗ77552959,1993-03-01,32,5,M128650070,1,0,0,0,0,1,0,0,0,0,2,4
Сарнай,Эр,Дархан-Уул,ТЮ38287101,2000-06-18,25,7,M128070023,1,0,0,1,1,0,1,0,1,0,5,10
Бямбасүрэн,Эм,Дорноговь,ЭВ32154326,1998-08-24,27,7,B103550098,1,1,1,0,1,0,0,0,0,1,5,12
Төгс,Эм,Архангай,ЧЧ75094209,1999-01-14,26,5,M213310028,0,1,0,1,1,1,1,0,1,0,6,10
Ганхуяг,Эр,Сэлэнгэ,НЭ39908601,1990-02-01,35,3,M216450066,0,1,1,0,0,1,1,1,0,1,6,11
Хулантуяа,Эм,Дундговь,РХ31481582,1990-10-11,34,6,M126270076,0,1,1,1,0,0,1,1,0,1,6,11
Энхжаргал,Эр,Өвөрхангай,ЦФ30640217,1991-12-18,33,2,B174880022,1,1,0,0,0,0,1,0,1,1,5,11
Мөнхсайхан,Эр,Улаанбаатар - Сонгинохайрхан,ЦР59538575,2001-10-09,23,6,B103810088,0,0,0,1,0,1,0,0,1,1,4,7
Баярчимэг,Эр,Дархан-Уул,ЭП14803953,1990-08-22,35,1,B106580064,1,0,0,0,0,1,0,0,1,1,4,9
Отгонбаатар,Эр,Улаанбаатар - Сонгинохайрхан,ЙР27490680,1999-05-21,26,7,B193810077,0,0,1,1,1,0,1,0,0,0,4,7
Цэцэн,Эр,Увс,ЯЮ39439389,1994-01-22,31,3,M185440027,1,0,0,0,1,1,0,1,1,0,5,11
Дэлгэрцэцэг,Эм,Ховд,ЭИ16041363,1993-09-01,32,2,B162910013,1,1,0,1,1,0,0,1,0,0,5,10
Ариунаа,Эр,Говьсүмбэр,ЖЕ75110988,1991-02-02,34,3,B174680031,1,1,1,0,1,0,1,0,0,1,6,13
Нямсүрэн,Эр,Төв,АН77236963,2005-05-28,20,6,B105650053,1,1,1,0,1,0,1,0,1,0,6,14
Содгэрэл,Эм,Дундговь,ЭШ99535490,2002-07-04,23,8,B241760002,1,0,1,0,1,1,0,0,0,1,5,11
Ганхуяг,Эм,Архангай,ЯЙ71193399,2006-10-10,18,5,M169010074,0,0,0,1,1,0,0,1,1,1,5,10
Энхтуяа,Эр,Ховд,ЮЭ21924251,1992-09-09,33,1,B228220099,0,1,0,1,0,0,0,1,0,0,3,5
Мөнгөнтуяа,Эр,Төв,ЛФ96187509,1999-08-17,26,7,M112910027,1,1,1,0,0,0,0,1,0,1,5,12
Бямбасайхан,Эр,Говьсүмбэр,ТУ92317620,1993-05-06,32,5,B145240092,1,0,1,1,1,1,1,0,1,1,8,16
Хүслэн,Эр,Ховд,ЗМ27684818,2005-03-31,20,4,M144020001,1,0,0,0,1,1,0,1,1,0,5,11
Оюунгэрэл,Эр,Хэнтий,ШФ75144552,1999-06-09,26,4,B141810072,0,1,0,0,0,0,1,1,0,0,3,5
Тэмүүлэн,Эр,Баян-Өлгий,РР74155345,2005-01-29,20,7,M128280029,0,0,1,1,1,0,0,0,1,0,4,9
Сувдан,Эр,Увс,ФШ82481798,1995-02-26,30,8,M217570039,1,1,0,1,0,0,1,1,0,0,5,9
Батсайхан,Эр,Баян-Өлгий,ВУ49991307,1998-11-07,26,4,B156980067,1,1,1,0,1,0,1,1,1,1,8,18
Намсрай,Эр,Дорноговь,ФК57179722,2006-08-29,19,8,M244710084,0,0,0,1,1,0,0,0,0,0,2,3
Энхзул,Эр,Баян-Өлгий,ЦФ41774499,2003-09-25,22,3,B216710032,0,0,1,0,0,1,1,1,1,1,6,12
Ганзориг,Эм,Улаанбаатар - Сүхбаатар,ВЛ18969684,2001-04-28,24,4,B207590006,1,0,0,0,0,0,0,0,1,1,3,8
Цэнд-Аюуш,Эм,Дундговь,ЖЮ98469939,2005-05-28,20,5,B174770092,0,1,1,0,0,0,1,1,1,0,5,11
Мөнхтуяа,Эр,Орхон,ПВ14803349,2004-03-12,21,6,M108430062,0,1,0,0,1,1,1,1,1,0,6,11
Баярсайхан,Эм,Сэлэнгэ,РС19381263,1993-03-26,32,3,M138070003,0,0,0,1,0,1,0,0,0,0,2,2
Дөлгөөн,Эм,Орхон,ЕГ12302634,2004-12-14,20,7,M197670094,1,1,0,0,1,0,1,0,0,0,4,8
Ариунаа,Эм,Хэнтий,НК81274754,1993-02-05,32,1,B175650093,1,0,1,0,1,0,1,0,1,0,5,12
Саруул,Эм,Завхан,ЖЖ30527577,1993-04-25,32,6,M247740077,0,1,1,1,1,0,1,0,1,0,6,12
Энхбат,Эр,Дорнод,ХР82071088,2005-07-11,20,3,M123330016,1,1,0,1,0,1,0,0,0,1,5,9
Ганболд,Эр,Дорнод,ХО19865823,1993-03-05,32,5,B115370037,0,0,0,1,1,0,0,0,1,0,3,6
Бадам,Эм,Ховд,ЖЕ85646811,2000-08-30,25,2,M216220081,1,0,1,1,1,0,0,0,0,0,4,9
Тэмүүжин,Эм,Увс,ЛВ87641482,2000-02-12,25,6,M108940055,0,0,1,0,1,0,1,0,0,0,3,6
Бат,Эр,Ховд,ЧЯ36801206,2005-07-08,20,4,M238410059,1,0,0,0,0,1,1,0,0,0,3,5
Болд,Эр,Говь-Алтай,ГН28777007,1997-04-18,28,4,B234340018,1,0,1,0,0,0,1,1,0,1,5,11
Саруул,Эм,Говь-Алтай,ПФ02710246,2001-10-16,23,6,B234370025,0,0,1,0,1,1,1,0,1,0,5,10
Энхбат,Эр,Ховд,УЮ11670250,1990-12-29,34,8,M248690047,1,1,0,0,1,1,0,0,0,0,4,8
Ганболд,Эр,Увс,ЙЙ05536041,2000-11-16,24,1,M235460078,1,0,1,1,0,0,0,0,0,0,3,7
Баяр,Эм,Дархан-Уул,ЯД44757531,2006-02-26,19,1,M171040025,1,1,1,0,0,1,1,0,1,1,7,15
Мөнх,Эр,Хэнтий,УХ51672986,1993-05-27,32,7,M225560006,0,1,1,0,1,0,1,1,0,1,6,12
Од,Эр,Дундговь,ЙЗ83311986,1998-06-21,27,6,B167480033,0,0,0,1,0,0,1,0,1,1,4,7
Амгалан,Эр,Говь-Алтай,ЭО73254658,2003-02-27,22,7,M107510092,1,1,0,1,1,0,1,1,0,0,6,11
Номин,Эм,Улаанбаатар - Сүхбаатар,ВА25665408,1998-05-21,27,6,M216010066,0,0,1,0,0,0,1,1,0,1,4,8
Цэнгэл,Эр,Сэлэнгэ,ЕЗ59567907,2006-05-31,19,8,B211830084,0,1,0,1,1,1,1,1,0,1,7,11
Хулан,Эм,Улаанбаатар - Сүхбаатар,ШТ43142559,2003-12-20,21,2,B204270015,0,1,1,1,0,1,1,0,1,1,7,13
Энхтуяа,Эр,Хөвсгөл,БГ99050385,1996-04-09,29,1,M192980068,0,1,0,0,0,1,0,1,0,0,3,5
Сүхбат,Эм,Өмнөговь,ГС38454960,2006-05-27,19,3,M134380051,1,1,0,0,1,0,0,0,1,0,4,10
